userid,probability
55597,0.666014795372378
55598,0.08179414291643844
55599,0.251968837796563
55600,0.5875946250646867
55601,0.6684392110770095
55602,0.26002451130341314
55603,0.5144575117418098
55604,0.14987405381717933
55605,0.358313725175733
55606,0.20315861600761856
55607,0.10892254228686131
55608,0.03198443519531024
55609,0.48363243834782615
55610,0.43672850782915057
55611,0.3061413928418574
55612,0.03099906739259705
55613,0.6333934580650823
55614,0.0954449240671577
55615,0.5896973261078475
55616,0.40270518442483194
55617,0.056272512470353205
55618,0.03644697112483343
55619,0.25695081594814034
55620,0.10272740477932438
55621,0.1261923483213878
55622,0.4133007921141934
55623,0.3692679762359544
55624,0.09600557864027838
55625,0.18587831612856398
55626,0.23442982785761887
55627,0.7059287415454247
55628,0.5611120049227111
55629,0.14188846924530601
55630,0.4270204469101092
55631,0.048050646836243535
55632,0.044014482594762025
55633,0.07246491920818025
55634,0.7401170320459294
55635,0.1282804717866505
55636,0.8743099884381791
55637,0.10250203365952468
55638,0.6145752513200899
55639,0.04174339459028308
55640,0.04101327070579121
55641,0.785812592119719
55642,0.11885499399933463
55643,0.42349970397414605
55644,0.7102065043538208
55645,0.1410145921634611
55646,0.15091050714954068
55647,0.8355832549594001
55648,0.02802570982900353
55649,0.4554501911190844
55650,0.41624863083792885
55651,0.10898781111041725
55652,0.5179454199362964
55653,0.15643198207847706
55654,0.725199351094912
55655,0.5086867232491277
55656,0.7234060751358911
55657,0.7035025159032742
55658,0.10674132842467952
55659,0.6987830287378279
55660,0.6283025037711091
55661,0.4660295761498058
55662,0.6594150618461209
55663,0.5649490697824224
55664,0.12631024209924438
55665,0.09449467388984155
55666,0.17945179414718299
55667,0.2822807229199211
55668,0.023188650347039083
55669,0.722695666077954
55670,0.6128566184591006
55671,0.47454177337971537
55672,0.12489415894032409
55673,0.26679571967514054
55674,0.3918761240733461
55675,0.8248583673015312
55676,0.6167403071874654
55677,0.43758977225349827
55678,0.08916964049468422
55679,0.46511743565060687
55680,0.02775670906168259
55681,0.16620254884323937
55682,0.4937079110130628
55683,0.12665855898682568
55684,0.07174687429421045
55685,0.7328905533891418
55686,0.5645409210961164
55687,0.47994103378450276
55688,0.6743518007275859
55689,0.1168386767295158
55690,0.07155019401649526
55691,0.1857929636929255
55692,0.6837266826093765
55693,0.7964038936614449
55694,0.11317087166166631
55695,0.41607227772612665
55696,0.1241205177159661
55697,0.41144915146407574
55698,0.3576150892031027
55699,0.04167268264574653
55700,0.8594852969495925
55701,0.5157275355234267
55702,0.22341613996087842
55703,0.6301071464984199
55704,0.07496349256942772
55705,0.0941997920053659
55706,0.5604535354370408
55707,0.45621202620232115
55708,0.05013210288756739
55709,0.6715221544002965
55710,0.5145272846022929
55711,0.6750785343252882
55712,0.08781899674039774
55713,0.6875013115279347
55714,0.035767123651920585
55715,0.023520749990002622
55716,0.11017113353782168
55717,0.16870034615963622
55718,0.04046655796169231
55719,0.4990192850980794
55720,0.053565189400783045
55721,0.062494592427603024
55722,0.502575947452406
55723,0.32518690067574146
55724,0.4084381406885326
55725,0.22078008672297897
55726,0.2370135837837441
55727,0.811848320163216
55728,0.5015146234361761
55729,0.2149641996036508
55730,0.05288080931208403
55731,0.030801422446623507
55732,0.367380756963603
55733,0.04394519976173603
55734,0.4301681372389092
55735,0.4297403719214287
55736,0.6658336097119714
55737,0.33997515406855483
55738,0.18887646196167432
55739,0.581141452580475
55740,0.5010559521609127
55741,0.6208974084327282
55742,0.06236432580486873
55743,0.07213839211482093
55744,0.054988070378672885
55745,0.39288056268707655
55746,0.03653379169505111
55747,0.04857985429604848
55748,0.22511701985788596
55749,0.3885355699618648
55750,0.0862653420801089
55751,0.5447100582959156
55752,0.7415036809553824
55753,0.45485414615985603
55754,0.2503637236046055
55755,0.04453383670168911
55756,0.07134710223410731
55757,0.26776085199691896
55758,0.15965411789722989
55759,0.17407912165498848
55760,0.17506413399492532
55761,0.5433902589817465
55762,0.08703808088929905
55763,0.669707258519071
55764,0.07035128862951584
55765,0.9385415454192391
55766,0.2236859236003734
55767,0.38890661357671097
55768,0.6779325312749053
55769,0.09585216310582309
55770,0.04155042851519194
55771,0.33039734309546165
55772,0.5575548844583563
55773,0.7562712496997895
55774,0.31425620391384
55775,0.5513680524495366
55776,0.054678395367357066
55777,0.33087362622770594
55778,0.6866955204277271
55779,0.7465098238848656
55780,0.13893998902295285
55781,0.5707370713721015
55782,0.05392407418769761
55783,0.05640763347848795
55784,0.11825356067985794
55785,0.07327969619889457
55786,0.041545531759495456
55787,0.09298584548628899
55788,0.058010288523125966
55789,0.22357361551778726
55790,0.11353037603695934
55791,0.3039137167777566
55792,0.698049138036139
55793,0.3708805998853774
55794,0.5463992053586308
55795,0.1219657062718591
55796,0.4956028628664554
55797,0.6838427122890549
55798,0.08149057628033939
55799,0.11155345412437351
55800,0.5713328083238751
55801,0.06341897680731882
55802,0.1926308797976564
55803,0.6427294284615029
55804,0.10749481891768665
55805,0.5681432246614903
55806,0.8607854844479282
55807,0.1541936132378003
55808,0.5507256840001976
55809,0.19166096025348905
55810,0.7942652903000677
55811,0.16458056498540255
55812,0.6495485959324905
55813,0.06159587610786274
55814,0.46591565344307795
55815,0.5221558853745099
55816,0.698826690143449
55817,0.07376342310081344
55818,0.13648486791437933
55819,0.5498985446922828
55820,0.2508863431693473
55821,0.462582359896298
55822,0.5000013892591275
55823,0.1070292188454982
55824,0.08017450808492277
55825,0.059922861327110374
55826,0.369547541911868
55827,0.019571969226669355
55828,0.2892535467930768
55829,0.40052768998724847
55830,0.025471055863495816
55831,0.6953834737815605
55832,0.06685540136627124
55833,0.23849135021524268
55834,0.7775402026923018
55835,0.45160584619429694
55836,0.32854238714806316
55837,0.4674547888415347
55838,0.049325949697347785
55839,0.7323095695444918
55840,0.5263433958861942
55841,0.41783132141435325
55842,0.4809032436445931
55843,0.1770069162486258
55844,0.08577911253360727
55845,0.580347749891852
55846,0.06976315668957238
55847,0.13085325213510754
55848,0.46516552721680515
55849,0.4766276139531706
55850,0.1552946711814586
55851,0.4272963101944703
55852,0.04650231898827078
55853,0.38121989939585144
55854,0.5146589754337191
55855,0.04709373833004493
55856,0.23525163487558304
55857,0.25703969595475823
55858,0.5642282024347086
55859,0.12545442520648967
55860,0.44981217552273506
55861,0.034361701026696466
55862,0.05760628262261466
55863,0.13867225601314356
55864,0.021060930410515894
55865,0.12268459231683783
55866,0.5604099929173177
55867,0.05138500712663788
55868,0.5830065362714664
55869,0.05091719728354563
55870,0.04056570488674611
55871,0.08529930451374441
55872,0.03646246628369691
55873,0.6671995872035299
55874,0.019194618698251606
55875,0.42855193949725384
55876,0.11223896343444749
55877,0.0624310952641069
55878,0.0477293508410243
55879,0.6224049393243944
55880,0.07478380834609304
55881,0.08636079452185358
55882,0.6066010862883477
55883,0.5443746126512015
55884,0.18444516405505287
55885,0.11417869258264542
55886,0.7620336592893205
55887,0.10781017130108796
55888,0.4209271501197615
55889,0.6922934997892767
55890,0.3794931945928093
55891,0.3157129093833513
55892,0.2564082295878374
55893,0.35213359517971077
55894,0.18086396832243387
55895,0.6852064489651982
55896,0.09675550756494304
55897,0.05648953131331487
55898,0.6572300319870497
55899,0.10987139476699159
55900,0.8328017424901105
55901,0.0959581305187693
55902,0.06199600691172402
55903,0.3667642434999943
55904,0.06150124534094965
55905,0.049236230592501345
55906,0.6279991855015784
55907,0.13056989144060055
55908,0.04295297773630527
55909,0.34329158562125406
55910,0.06534394770793929
55911,0.15422113629982512
55912,0.06803194357534713
