3150,1,2,4,1,4
6965,1,2,4,3,2
1265,1,3,4,3,1
6360,1,2,4,3,2
2583,2,2,2,1,1
34764,1,2,3,3,1
9554,1,2,4,2,2
6720,1,2,3,3,2
29165,1,2,4,1,4
6966,1,2,3,1,4
35421,1,2,2,3,1
27162,1,2,3,3,2
2443,1,4,4,3,1
19579,1,2,2,3,1
590,1,2,4,1,1
42390,1,2,4,3,2
43106,1,2,4,3,4
12994,1,2,3,1,1
10313,1,3,4,2,2
26702,1,2,4,1,4
55354,1,2,2,3,2
20235,1,2,2,1,3
37070,1,4,4,3,2
28590,1,2,4,1,3
7549,1,2,4,1,3
694,1,2,3,3,3
5264,1,3,3,1,4
2101,1,2,3,3,1
44818,2,2,3,3,1
19580,1,4,4,1,2
43946,1,3,3,3,1
52425,2,2,4,4,1
28017,1,2,4,3,1
4542,1,2,2,1,3
22556,1,2,2,1,1
30186,1,3,4,3,2
3034,1,2,3,3,3
43947,1,2,4,1,2
19102,1,2,2,2,1
20236,1,2,3,3,3
22557,1,4,3,4,1
39270,1,2,3,1,2
6024,1,2,4,3,2
43107,1,2,2,3,1
40811,1,2,3,3,1
20237,1,2,3,3,4
50013,0,4,2,1,2
54031,1,3,2,3,4
4543,1,4,2,3,3
5265,1,2,3,1,4
1708,1,2,3,3,2
41637,1,4,4,3,2
14686,1,2,1,2,1
47834,1,2,4,1,4
37852,1,2,4,3,1
46337,1,2,3,2,3
9555,1,2,3,1,1
16029,1,2,4,1,3
29166,1,2,3,3,1
36264,1,2,3,1,1
9179,1,2,4,2,1
8531,1,2,4,3,1
44819,1,2,3,3,2
14687,2,3,3,3,4
5555,1,2,3,3,4
23972,1,2,4,3,1
40049,2,2,4,3,4
2286,1,2,3,1,2
21727,1,2,4,1,4
2287,1,2,3,1,2
2916,1,2,4,1,2
1266,1,4,4,1,2
18369,1,2,4,2,2
19581,1,2,2,2,1
16030,1,3,2,3,1
32378,1,4,4,3,2
17399,1,2,4,1,3
16031,1,2,3,1,4
18370,1,3,4,3,1
1024,1,2,4,2,2
4250,1,2,3,1,3
2379,1,2,4,1,1
10702,1,4,4,3,4
10314,1,2,3,1,4
49328,1,2,3,3,4
40812,1,4,3,1,3
2380,1,2,3,1,3
50654,1,2,2,3,3
1846,1,4,4,1,1
45571,1,3,3,3,1
18371,1,2,4,3,4
21316,1,2,2,1,2
26152,1,3,3,2,1
14112,2,2,4,2,2
25344,1,2,3,1,2
23812,1,2,4,3,1
196,1,3,4,3,2
51852,0,2,3,2,1
26703,2,2,4,1,3
54435,1,2,2,1,2
1847,1,2,4,1,3
10543,1,2,4,1,4
1025,1,2,4,1,4
28018,1,2,3,1,4
2630,1,3,1,3,2
8532,1,2,2,3,1
19582,1,2,3,2,1
907,1,2,4,1,3
52426,1,2,2,3,3
40813,1,2,4,1,4
