feature,score
afterLoan,258.09775390740737
loanUseTime,60.43379113422812
afterLoanBill3,57.0393084
heavyRatio,29.937558399999997
afterLoanBill4,26.2792452173913
heavyRatio.1,22.86739101923077
time3,22.60205366666667
x7_0,15.938304
afterLoanBill1,15.523195060240969
lighting,14.338170238095236
time7,13.303674770833318
banksMoreThanFour,12.8414
x2_x1_0,12.363039624999997
x1_x4_1,12.260865499999998
x3_x4_2,11.889165705882352
heavySum,11.786263584905662
bank_num,11.66788888888889
salaryFlag,11.340550148148145
bank_id_7,11.281866930232557
x4_x6_2,11.247366274509808
time9,11.210107518987344
time4,10.835167606060606
bill_beforeloan_time,10.648908979865766
preBorrowZeroCount,10.572739416666666
x1ex3m,10.483765000000002
x7_1,10.471645
x1_x6_0,10.44991652173913
x1_x6_2,10.425453720930232
creditYearsShortest,10.395184682926828
date_loan_2,10.282225714285714
date_loan_0,10.277674999999999
bank_id_8,10.259039545454547
owingBankMax,10.221904134615386
x3_maxmin,10.175554343749996
afterLoanBill5,10.166459282608695
date_loan_1,10.1384875
x3_max,9.95500531304348
x8_0,9.911281733333336
creditYearsAverage,9.87123825203252
beforeLoanBill1,9.8700193125
consumeSumMoney,9.843329528301886
id_spend_mean,9.823501852112678
x1_x4_0,9.817361694444449
x3_x4_1,9.793793168674702
x3_1,9.789408607142859
x2_max,9.753654107981228
x3_maxmin_sum,9.752926086956524
x2ex3m,9.730605327868854
drop_num_sum,9.71052736842105
x4_x6_1,9.667414975609754
id_date_size,9.662867499999999
cycleRateCount,9.648446999999999
withoutOweRatio,9.647779123456784
backRatio,9.61597558823529
x6_max,9.601005746192893
x10_mean,9.569631762135925
creditYearsLongest,9.558371763157892
x8ex10m,9.555566803571429
x3_mean,9.546383653061232
x10_max,9.541307176470587
totalBackSubOwe,9.5038087125
creditImproveFlag,9.502875714285716
bank_id_6,9.47011105263158
x4_min,9.454701797909408
creditToZero,9.448308666666668
owingPerMax,9.391959046875
x5_mean,9.388776135135146
returnLeastRatio,9.384268690140846
bank_id_2,9.3721575
beforeLoanBill5,9.362147345323745
x2_mean,9.358188752631577
x4_0,9.354659310344825
totalBacking,9.349518788235292
bank_id_11,9.345728536585368
time10,9.336378260869566
duplicate_num,9.31373
x1_x2_min,9.288473174603167
beforeLoanBill3,9.2847975
bank_id_14,9.284062826086958
owingBanks,9.274255000000002
perBankOwing,9.223972675000002
time6,9.205519680451127
x6_mean,9.192254220657276
beforeLoanBill4,9.189408888888888
x8_max,9.163299318181824
x3_num,9.1579436
bank_id_4,9.12898873076923
curOverdueMoneySum,9.12346534579439
x1_max,9.117840873493973
x3_x4_0,9.08731181818182
withoutOwingBeforeLoan,9.08142
x4_mean,9.08053205098039
useableZeroCount,9.019916451612904
curOverdueCount,9.0046109375
time8,8.992846096774189
date_maxmin1.1,8.992465941747575
x5_max,8.963258115501516
afterLoanBill2,8.953785352112675
x1_x2_mean,8.952201939655176
x4_max,8.909977450000007
x1_mean,8.849061260355032
time2,8.808773200000001
x1_x6_1,8.700692264705884
billContPerBank,8.683404723404255
beforeLoanBill2,8.681349122302159
consumeAverage,8.675371324675327
creditDescRatio,8.674757529411766
x3_maxmin_mean,8.661105989130437
x3_unique_mean,8.658550597560975
heavingAddlighting,8.655691375
bank_id_16,8.640023192307691
returnLeastCount,8.633038884615386
x1_x2_max,8.609885262773723
bank_id_10,8.594380909090908
id_spend_sum,8.593897928571426
x5_x6_2,8.593246967741935
x6mx8e,8.552037692307696
x8ex9e,8.482927432432431
x1_x2_std,8.477765568965522
x8_mean,8.460860945652172
date_maxmin2,8.446969194915257
curOverdueMoney,8.410730104395611
perOwingAfterLoaning,8.409287415254235
x1_x4_2,8.388489534883723
consumeSumCount,8.373182701298697
bank_id_15,8.339120666666666
totalOwing,8.226157000000002
x3_0,8.220853129032257
x2_x1_1,8.203085857142858
x4_1,8.171536875000003
time5,8.149253971428571
x3_maxmin_max,8.112973203703703
id_spend_max,8.106128705882352
consumePerCost,8.103350812903226
bank_id_3,8.075871903225806
id_date_interval,8.063732210256411
withoutOweCount,8.037746923076925
perTermOwing,8.020045499999998
useableZeroCountRatio,7.979135617647059
x3mx10e,7.968747907692308
bank_id_5,7.925438461538462
id_size.1,7.918252
x9_mean,7.850450103448279
beforeLoan,7.8199460285714295
owingBanksRatio,7.789275962962963
x5_x6_0,7.788705294117646
time1,7.75919076923077
moreBack,7.681216028985509
x9_max,7.6369168
x7_mean,7.548666294117647
x5_x6_1,7.49545574468085
x4_2,7.340388625
cycleRateSum,7.334823037735848
x9_2,7.32455
x7_max,7.23871
x4mx6e,7.1525994042553185
x9_0,6.939444285714286
x4_x6_0,6.911910539682539
heaving,6.763376666666666
bank_id_13,6.648689722222223
x9_1,6.470903333333334
x8_1,6.390965714285715
creditDescCount,6.3385364399999995
x1mx2e,5.969162428571429
equalLoan,5.553170499999999
bank_id_9,5.478319000000001
x7_2,5.26265
