feature,score
afterLoan,134.917589752809
loanUseTime,39.35794271538465
date_loan_2,25.91645963829786
afterLoanBill3,25.491996692307694
heavyRatio,15.254337523809516
time2,14.6086075
time3,13.687631687500003
x1mx2e,10.584636315789473
lighting,10.51343324193548
heavyRatio.1,9.79048932926829
afterLoanBill4,9.506350439393943
banksMoreThanFour,8.545024999999999
backRatio,7.989672642424243
afterLoanBill1,7.976109689393938
id_date_size,7.664607197916671
time7,7.227704469512203
bank_id_5,7.0282368461538445
x7_0,6.822243333333335
x1_x4_1,6.796220313131309
x1_x6_2,6.757023827586207
bank_id_14,6.701680099999998
x3_num,6.640092148148147
x3_x4_2,6.6258535857988115
creditYearsAverage,6.595417251256281
x3_maxmin,6.57491781132075
time4,6.56251604255319
x5_x6_2,6.5544211428571435
returnLeastRatio,6.49481850454546
beforeLoanBill1,6.48350315231788
preBorrowZeroCount,6.44511868235294
x4_max,6.439051146090529
drop_num_sum,6.415165178571427
x2ex3m,6.4104541219512186
creditYearsShortest,6.390078330097081
moreBack,6.361400038095237
x9_0,6.346407318181819
heavySum,6.342821329268294
x4_0,6.33144046875
x8ex9e,6.321582180555556
bank_id_4,6.321450551724138
x10_max,6.258728397515526
x3_max,6.257126884422109
curOverdueCount,6.244977600000002
x10_mean,6.227724194719477
withoutOweCount,6.211310578947369
beforeLoanBill5,6.20063408943089
x1_x2_mean,6.164617914285717
afterLoanBill2,6.1552436291390755
x4_1,6.154104840909091
salaryFlag,6.140404193548388
bill_beforeloan_time,6.0441533275109105
perTermOwing,6.0434523979057575
time8,6.041221196721306
curOverdueMoneySum,6.039675078534031
x2_mean,6.034100826347303
x2_max,6.030261833333336
x1_x2_min,6.026807411255409
perBankOwing,6.026547412037036
curOverdueMoney,5.994678612582781
beforeLoanBill4,5.988140029411766
withoutOweRatio,5.9791592093023285
perOwingAfterLoaning,5.971590272727272
x4_x6_0,5.955697446153843
date_maxmin1.1,5.955097546874999
totalBacking,5.944234533333334
afterLoanBill5,5.938389468354432
x8_0,5.929289092592594
x4_x6_1,5.924042153846155
x9_mean,5.893508153846155
x1_x6_0,5.888544793103447
time6,5.887791161835742
x1_max,5.883858069999998
x1_x2_max,5.860765111627906
id_spend_sum,5.858910192307693
x1_x2_std,5.813984859375001
x1_x4_0,5.813253905660376
bank_id_8,5.787396972222224
x5_max,5.770875990757863
x3_x4_1,5.768913535433069
bank_num,5.763402055555554
creditYearsLongest,5.751822975609756
consumeSumCount,5.751149353448275
date_maxmin2,5.750485634782606
x1ex3m,5.74789732051282
heavingAddlighting,5.742528095890409
x3_mean,5.73679907361963
x4_min,5.698685270506106
x8_max,5.680987169117646
beforeLoanBill2,5.648150995594712
creditImproveFlag,5.639426666666666
x2_x1_0,5.635314681818181
id_date_interval,5.631271100286539
x6_max,5.604471480712168
beforeLoan,5.5855801911764695
x3_maxmin_sum,5.517960343434341
x8ex10m,5.514153947826089
x4_mean,5.501772905857745
consumeSumMoney,5.499651875000002
creditDescCount,5.4960448857142845
id_spend_mean,5.483753236842105
owingBankMax,5.470338407079641
x3_unique_mean,5.463963530120485
x3_maxmin_max,5.4526877857142875
x1_mean,5.422053965517241
bank_id_10,5.421626540229886
bank_id_11,5.414531607142857
x4mx6e,5.414441984615384
owingBanksRatio,5.408142121951219
bank_id_2,5.407751
x6_mean,5.398780457627125
bank_id_6,5.376332347826085
creditDescRatio,5.35816007792208
time9,5.35770255921053
heaving,5.354351272727273
consumeAverage,5.32810603125
x3_1,5.319159478260869
owingPerMax,5.315069004739341
x5_mean,5.3077232966601215
time10,5.3060398000000015
returnLeastCount,5.282457509090909
consumePerCost,5.232833641791045
x3_maxmin_mean,5.200303107594936
x4_x6_2,5.197053526315791
beforeLoanBill3,5.1947786923076915
date_loan_1,5.177940499999998
time5,5.157709253333333
totalBackSubOwe,5.1301432568306
totalOwing,5.109983030303034
cycleRateSum,5.107875264705884
x5_x6_0,5.01117043181818
x8_mean,5.00805581521739
x6mx8e,4.979564735294118
id_size.1,4.932177548387097
x1_x4_2,4.901769477272729
owingBanks,4.9005586562499985
creditToZero,4.881926222222223
billContPerBank,4.876940913043481
useableZeroCountRatio,4.838407238095236
id_spend_max,4.814327707317073
x3_x4_0,4.813929125000002
cycleRateCount,4.808803387096774
x3_0,4.80800143076923
bank_id_7,4.798180431818181
x7_mean,4.790158527027026
x1_x6_1,4.789608287878789
x5_x6_1,4.75790586458333
bank_id_16,4.67399311764706
x2_x1_1,4.6160528965517225
x3mx10e,4.560293989898989
x9_1,4.453484708333334
x7_max,4.446963
x7_1,4.3981123124999995
date_loan_0,4.392735
useableZeroCount,4.354171318181818
bank_id_3,4.349722484375001
withoutOwingBeforeLoan,4.32018
x8_1,4.306035049999998
bank_id_9,4.291340105263157
duplicate_num,4.195576225000001
x9_max,4.1699614642857155
time1,4.003697285714286
x7_2,3.7835449999999997
bank_id_13,3.6881531282051276
bank_id_100,3.6270426000000002
equalLoan,3.4623418749999995
x4_2,3.456926047619048
bank_id_15,3.417721515151516
time0,2.4715236666666667
x9_2,1.27439
