feature,score
afterLoan,38.169326043750004
loanUseTime,36.04780621985813
afterLoanBill3,20.64461692857145
heavyRatio,12.890713980952372
time2,8.650502444444447
totalBackSubOweFlag,7.9586
time7,7.560405565274154
afterLoanBill4,7.400227339285712
time3,6.509597849056604
x1mx2e,6.388420199999999
banksMoreThanFour,6.37953325
afterLoanBill1,5.48905325909091
bank_num,5.468166882352941
owingBanks,5.199433555555556
beforeLoanBill4,5.144779309278351
x3_x4_2,5.096744914163092
creditYearsAverage,5.084291607954545
time9,5.027828736842101
x9_0,5.00758857894737
x8ex10m,4.97422761875
heavyRatio.1,4.955618294117648
lighting,4.947645400000002
x4_x6_2,4.893423606060607
afterLoanBill5,4.879607475336321
x4_x6_1,4.873322761904765
beforeLoan,4.827791293103445
x7_0,4.7828866923076925
totalBacking,4.776620723735413
x1_x6_2,4.718201565517247
x3_unique_mean,4.704865423690204
x3_mean,4.694746153679655
x1_x4_1,4.641839837398374
x1_x2_mean,4.582538649572645
x4_max,4.582300065155803
owingBankMax,4.55027505571848
x10_max,4.526278007142857
salaryFlag,4.510232254901961
curOverdueMoneySum,4.508822948630132
beforeLoanBill2,4.4897742276422745
x3_maxmin_max,4.463989770833333
owingBanksRatio,4.463024045454545
x2_mean,4.455736576449916
beforeLoanBill5,4.454074903999997
creditYearsShortest,4.439768341736693
x3_max,4.425910517350152
bill_beforeloan_time,4.386895108591886
time8,4.382840047457627
date_maxmin2,4.373360171428569
x3mx10e,4.37250884868421
date_loan_2,4.355212624999999
x2_max,4.3247458828451855
perTermOwing,4.324268582417584
x1_max,4.316880913319238
x6_max,4.307919913636366
x1_x6_0,4.273913559139785
totalOwing,4.229363119815668
time1,4.222116918918919
id_date_interval,4.195380395017797
x6_mean,4.19321490825688
x5_max,4.165407859550562
bank_id_14,4.1644574959349585
id_date_size,4.153363131428573
x1_x2_max,4.150959873595506
time6,4.148652668928089
x4_min,4.146556076212474
x4_mean,4.14624139671683
x2_x1_1,4.13359238888889
time4,4.127522009900991
time5,4.126867666666666
x4mx6e,4.122662496296295
x1_x2_min,4.116972413793104
x5_x6_1,4.11180152631579
x5_mean,4.1037422960288845
preBorrowZeroCount,4.102927251908398
x1_x4_2,4.097652434782609
x3_x4_1,4.0918902953586445
bank_id_5,4.081545348837209
cycleRateCount,4.077168932203389
backRatio,4.07616987686567
id_spend_mean,4.064424861985472
x10_mean,4.039968223451325
x8_max,4.038989358851677
curOverdueCount,4.0350059891304335
perOwingAfterLoaning,4.023029273927393
date_loan_1,4.009130519230769
beforeLoanBill1,3.9848335976095584
x8_mean,3.9842092689393933
bank_id_10,3.96278204237288
x1_mean,3.9516437303609355
curOverdueMoney,3.9502964458598724
x1_x2_std,3.9451967155963317
consumeSumCount,3.94459828240741
bank_id_4,3.942937333333333
perBankOwing,3.931022426086956
date_maxmin1.1,3.930021404692083
x8_0,3.9190347441860465
returnLeastRatio,3.885884316425121
withoutOweRatio,3.885083483720932
withoutOweCount,3.8813403495145637
x1_x4_0,3.875905235294117
x6mx8e,3.8563722255639092
consumeSumMoney,3.8554503183520596
consumeAverage,3.8552753556701025
creditDescRatio,3.843950206611572
id_spend_max,3.835532971428572
afterLoanBill2,3.8294928712446334
consumePerCost,3.8205913972911976
bank_id_15,3.813139283018868
bank_id_3,3.793928406976747
x3_maxmin_sum,3.7811062116402097
x1ex3m,3.7744274537037046
moreBack,3.7659130121212105
id_spend_sum,3.749110352941175
x3_x4_0,3.7160492435897425
bank_id_13,3.7120117755102053
x3_maxmin,3.7120068321428588
owingPerMax,3.7066847284946265
totalBackSubOwe,3.699188955999997
cycleRateSum,3.697048878048778
x3_maxmin_mean,3.6720889547511337
id_size.1,3.6433484651162797
x4_0,3.6327389827586205
x1_x6_1,3.625655637254905
returnLeastCount,3.613587080459772
time10,3.6091074105263163
bank_id_6,3.6089149279279304
x5_x6_2,3.608891840909091
creditYearsLongest,3.603903637795276
bank_id_7,3.602336081249999
x8ex9e,3.586739561904762
bank_id_8,3.582014328571428
x3_num,3.5749212982456133
heavingAddlighting,3.5683554770642196
x2ex3m,3.520465529411765
x5_x6_0,3.50378546551724
heaving,3.493360214285714
x3_1,3.484697064814815
bank_id_16,3.4565064154929566
x9_mean,3.4488521304347834
creditDescCount,3.439877581818182
x4_x6_0,3.43064471724138
x9_max,3.413797149532709
bank_id_11,3.4007272366412216
x4_1,3.3885429516129024
useableZeroCountRatio,3.351293166666668
billContPerBank,3.3487746458333345
x7_mean,3.297144853211009
bank_id_2,3.2823126964285687
x3_0,3.265675898148148
heavySum,3.221081483870967
withoutOwingBeforeLoan,3.1685
x4_2,3.090218374999999
equalLoan,3.0843958979591846
x9_1,3.066840837837838
x9_2,2.9745839000000007
x2_x1_0,2.9436772790697674
x8_1,2.867866307692308
useableZeroCount,2.8101264827586223
duplicate_num,2.7646290151515154
x7_1,2.6071235882352943
creditImproveFlag,2.584155521739131
bank_id_9,2.556877800000001
time0,2.435327714285715
x7_max,2.430251680851064
x7_2,2.3435242999999994
creditToZero,2.33432844
drop_num_sum,2.3299546046511623
date_loan_0,2.121565380952381
beforeLoanBill3,1.9124780769230771
bank_id_100,0.99298775
